maison,ats,config_json,job_count,evidence
Viktor&Rolf,NONE,,,"robots https://www.viktor-rolf.com/robots.txt HTTP 200 ALLOWED (Shopify default; /pages/ permitted). Shopify (the couture house's own site, probed as instructed rather than the L'Oreal fragrance licence). COMPLETE page enumeration via https://www.viktor-rolf.com/sitemap.xml -> sitemap_pages_1.xml?from=54002614381&to=721649598813 HTTP 200 = 70 /pages/ URLs listed in full (haute-couture + mariage lookbooks back to SS16, about-us, contact-us, store-locator, trunk-shows, whistleblowing, share-your-experience, faq, policies...) - NO careers/jobs/vacancies page. Path probes /careers /career /jobs /pages/careers /pages/jobs /pages/work-with-us all HTTP 404. DNS careers.viktor-rolf.com and jobs.viktor-rolf.com = NXDOMAIN. WTTJ 'viktor rolf' nbHits=0. Greenhouse/Lever/Ashby/Recruitee/Personio/Workable/Teamtailor sweep on viktorrolf + viktor-rolf: no hit."
Viktor&Rolf Fragrances,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/"",""searchParam"":""search"",""searchValue"":""Viktor&Rolf""}",0,"L'Oreal-licensed fragrance line. Same verified Avature portal (robots ALLOWED). search=Viktor&Rolf -> 'Showing 1- 0 of 0 result'; also tried 'Viktor Rolf' -> 0 and single tokens 'Viktor' -> 0, 'Rolf' -> 0. Controls prove the filter works and is not simply spaces-hostile: 'Urban Decay' (2 words) -> 1, 'Color Wow' -> 2, Lancome -> 20, Garnier -> 5, Kerastase -> 6, YSL -> 92; negative control zzzznope -> 0. Verified ZERO brand-attributable postings on a WORKING feed"
Vivienne Westwood,Teamtailor,"{""vendor"": ""teamtailor"", ""subdomain"": ""viviennewestwood"", ""jobs_url"": ""https://viviennewestwood.teamtailor.com/jobs"", ""sitemap"": ""https://viviennewestwood.teamtailor.com/sitemap.xml"", ""job_url_pattern"": ""https://viviennewestwood.teamtailor.com/jobs/{id}-{slug}""}",12,"www.viviennewestwood.com robots.txt = HTTP 403 Akamai 'Access Denied' (BLOCKED_WAF on the brand site, not disallowed). ATS found by slug sweep: https://viviennewestwood.teamtailor.com/jobs HTTP 200, 82972 bytes of real content. Teamtailor has WILDCARD DNS so verified against a negative control: https://zzzznopebrand9999.teamtailor.com/jobs = HTTP 404 'Teamtailor - 404 the page you are looking for could not be found' (1076B) - so the 200 is genuine. Org identity verified: og:site_name=""Vivienne Westwood"". robots https://viviennewestwood.teamtailor.com/robots.txt HTTP 200 ALLOWED for /jobs (only /app/ /messages/ /messenger/ /facebook/tab/ /jobs/internal/ disallowed). COUNT: 12 unique numeric job ids scraped from the listing page, page states '12 jobs', and https://viviennewestwood.teamtailor.com/sitemap.xml HTTP 200 contains 23 <loc> of which exactly 12 are /jobs/ URLs - three independent sources agree on 12. Sample: 8281406-assistant-store-manager-12-month-ftc, 8274795-bridal-specialist-new-york-city, 8213140-digital-site-merchandising-manager, 8108429-people-manager."
Vogue France,Workday,"{""tenant"":""condenast"",""site"":""CondeCareers"",""origin"":""https://condenast.wd115.myworkdayjobs.com"",""appliedFacets"":{""locationCountry"":[""54c5b6971ffb4bf0b116fe7651ec789a""]},""brandMatch"":""title matches /vogue/i""}",3,"Same verified Conde Nast Workday FR slice (total=14, all 14 rows read). 3 titles name Vogue: 'Manager of Audience Development - Vogue France - H/F - CDD', 'Web and Social Media Assistant Vogue Intern', 'Web Editor Vogue Intern'. Unfiltered tenant total=139"
Vogue (haircare),Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/"",""searchParam"":""search"",""searchValue"":""Vogue""}",0,"L'Oreal haircare brand (Latin-America). Same verified Avature portal (robots ALLOWED). search=Vogue -> 'Showing 1- 0 of 0 result'; 'Vogue Haircare' -> 0. Controls as above (Lancome=20, YSL=92, Garnier=5) prove the filter is live; negative control zzzznope -> 0. Verified ZERO on a working feed"
Wales Bonner,EMAIL_ONLY,,0,"robots ALLOWED (walesbonner.com/robots.txt 200, Shopify boilerplate; no Disallow on /pages/). Footer link href=/pages/careers -> https://walesbonner.com/pages/careers HTTP=200 but the Shopify section #shopify-section-section-careers contains ONLY <h1>Careers</h1> and an empty description div (<main> is 327 bytes); Playwright render (7s) confirms no jobs, no ATS iframe, no ATS XHR (only Shopify/Clarity/pixel calls). https://walesbonner.com/pages/contacts HTTP=200 states ""For enquiries related to careers: careers@walesbonner.com"" => spontaneous-application email, no ATS. Slug sweep all negative: greenhouse walesbonner 404, lever 404, ashby 404, recruitee 404, workable 404. Full sitemap_pages_1.xml enumerated (~50 pages) - /pages/careers is the only careers URL."
Wanda Nylon,NONE,,,"DEFUNCT / no web presence. wandanylon.com robots.txt HTTP=200 (User-agent:* Disallow: <empty> = fully permissive) but the site itself 301-redirects to https://www.hugedomains.com/domain_profile.cfm?d=wandanylon.com - domain PARKED FOR SALE at $2,095 (page text: ""WandaNylon.com is for sale""). wandanylon.fr resolves (A 162.244.94.34) but https fails TLS (no matching cert SAN, curl exit 60) and http returns HTTP=403 Forbidden (Apache default) - not a live site. No brand site exists, therefore no careers page and no ATS to probe. job_count left EMPTY (no feed exists to return a verified zero)."
Watchfinder & Co.,RichemontCareers,"{""origin"":""https://careers.richemont.com"",""path"":""/en/jobs/"",""brandParam"":""brand"",""brandValue"":""Watchfinder"",""pageParam"":""page""}",20,"Same verified careers.richemont.com Maison facet; the facet option is literally 'Watchfinder'. GET /en/jobs/?brand=Watchfinder&page=1..2 -> declared 20, 20 unique jr ids collected = EXACT MATCH (page=2 returned no new ids, confirming the set is complete rather than page-size-capped)"
Weinsanto,NONE,,,"robots ALLOWED (weinsanto.com/robots.txt 200, Shopify boilerplate, no relevant Disallow). Homepage HTTP=200 (334KB): zero href matching career|recrut|emploi|rejoign|join-us|jobs|talent. Full sitemap enumerated via sitemap.xml -> sitemap_pages_1.xml: 31 pages, ALL editorial/lookbook/legal (contact, about, stockists, campaigns, credits, data-sharing-opt-out) - NO careers/recrutement page exists. https://weinsanto.com/pages/contact HTTP=200 lists only contact@ / sales@ / press (TL Paris) addresses, no recruitment contact. Slug sweep negative: greenhouse 404, lever 404, ashby 404, recruitee 404, workable 404. Small independent Paris couture house with no careers infrastructure."
Wooyoungmi,NONE,,,"robots PARTIAL (wooyoungmi.com/robots.txt 200; Disallow /admin,/exec/front/,/api,/member/,/myshop/,/protected/ - none of which is a careers path; browsed paths permitted). Homepage HTTP=200. Full sitemap.xml fetched (95,977 bytes, 691 <loc> URLs) and grepped for recruit|career|job|채용|인재 -> the ONLY match is /shopinfo/company.html (a corporate-profile page, HTTP=200, contains no recruitment content). /recruit 404 and /shopinfo/recruit.html 404. Sibling brand under the same Seoul parent, solidhomme.com, HTTP=200, also has no recruit/채용 link. Cafe24 storefront with no careers infrastructure. Slug sweep negative: greenhouse/lever/ashby/recruitee 404."
WWD,Greenhouse,"{""vendor"":""greenhouse"",""board_token"":""pmc"",""api"":""https://boards-api.greenhouse.io/v1/boards/pmc/jobs?content=true"",""brand_facet"":""departments[].name / title prefix"",""group"":""Penske Media Corporation""}",3,"robots ALLOWED - www.pmc.com/robots.txt HTTP=200 with ZERO bytes (empty file = no restrictions). www.pmc.com/careers is a Webflow JS page; Playwright render found NO ATS XHR, but the rendered DOM exposes the CTA <a href=""https://www.pmc.com/join-our-team"">Explore Open Opportunities</a>. Rendering /join-our-team captured the ATS call: GET https://boards-api.greenhouse.io/v1/boards/pmc/jobs. Direct API HTTP=200, 729,618 bytes, meta.total=37 and 37 UNIQUE ids collected (declared == counted). Brand facet is real and readable: 3 postings are WWD-attributable (4712901005 ""WWD: Beauty Reporter"", 4714738005 ""WWD: Fashion Assistant"", 4723643005 ""Fairchild Media Group: Senior Video Editor"" whose department is ""WWD - Content & Editorial""). Wider Fairchild Media Group (WWD's publisher) = 6 postings; whole PMC group = 37. Reported count 3 = strictly WWD-labelled."
Xuly Bët,NONE,,,"NO WEBSITE. xulybet.com robots.txt HTTP=301 (0 bytes) and the apex itself 301-chains http://xulybet.com -> http://instagram.com/xulybetofficial -> https://www.instagram.com/xulybetofficial (HTTP 200) - the domain is a pure Gandi web-redirect to Instagram (www.xulybet.com CNAME webredir.gandi.net, A 217.70.184.56). xulybet.fr does not resolve (dig returns empty = NXDOMAIN, distinct from a 403). Lamine Kouyate's label runs on Instagram only; there is no site, no footer, no careers page and no ATS. LinkedIn not probed (known DISALLOWED). job_count EMPTY - no feed exists to yield a verified zero."
Y/Project,NONE,,,"CONFIRMED CLOSED - and the site is ALIVE, not dead (neither DNS failure nor 403): https://yproject.fr 301 -> https://www.yproject.fr HTTP=200, 97KB, Squarespace. robots ALLOWED for the path used: the * group only Disallows /config,/search,/account,/commerce/digital-download/,/api/,/static/ and query-string patterns; homepage and /sitemap.xml are permitted. (Flagged: yproject.fr/robots.txt names ClaudeBot and anthropic-ai in a User-agent list - treated as data; the operative * group permits the homepage, and only the homepage + sitemap were read.) Homepage text: ""After 14 fruitful years, Y/PROJECT has made the challenging decision to stop operations."" Sitemap enumerated: only archive/collections/campaign pages remain, NO careers/contact/jobs URL. Slug sweep negative for yproject and yprojects (greenhouse/lever/ashby/recruitee 404). House is wound down - no careers infrastructure."
YEMA,NONE,,,"robots ALLOWED (yema.com/robots.txt 200, Shopify; Disallows are cart/checkout/account/search only). Homepage HTTP=200 (459KB) 301 www->apex: zero career/recrut/emploi/rejoindre href. Full sitemap.xml -> sitemap_pages_1.xml enumerated: 26 pages, all commerce/editorial (our-story, manufacture, store-locator, customer-support, warranty, calibre-manufacture-morteau-*, legal) - NO recrutement/careers page. /pages/careers 404 and /pages/recrutement 404. Alternative corporate domains checked: yema.fr TLS handshake failure (curl 000, no usable site); yema-watches.com HTTP=200 but is a PARKED Hostinger placeholder, not a corporate site. Slug sweep negative: greenhouse/lever/ashby/recruitee 404 (workable 429 rate-limited, inconclusive but no corroborating evidence). Morteau manufacture publishes no online job feed."
Yohji Yamamoto,RECOP-jobfind,"{""vendor"":""recop_jobfind"",""host"":""yohjiyamamoto-recruit.net"",""list_url"":""https://yohjiyamamoto-recruit.net/jobfind-pc/area/All"",""pagination"":""?page=N (1..9, 20/page)"",""job_url_pattern"":""/jobfind-pc/entry/job/{id}"",""entity"":""株式会社ヨウジヤマモト"",""requires_js"":true}",166,"robots ALLOWED (PARTIAL): yohjiyamamoto.co.jp/robots.txt 200 disallows only /wp/wp-admin/; yohjiyamamoto-recruit.net/robots.txt 200 disallows /recruiter*/ and /jobfind-pc/jobfeed/ - the jobfeed path was NOT touched; /jobfind-pc/area/* is permitted and is what was read. Corporate site www.yohjiyamamoto.co.jp HTTP=200 footer links RECRUIT -> https://yohjiyamamoto-recruit.net/jobfind-pc/. Vendor identified from network capture: ext1.recop.jp/recop-dwh.js + info2.recop.jp (RECOP 'jobfind' Japanese recruiting platform), JS-rendered so Playwright required. COUNT VERIFIED BY COLLECTION, not by the declared number: listing declares '166 件あり' but the pager only EXPOSES links for pages 1-5; probing beyond the visible pager found pages 6,7,8 (20 each) and 9 (6). Unique /jobfind-pc/entry/job/{id} ids across pages 1-9 = 166 (page1 != page2, so pagination is honoured; page 10 = 0 rows). Group-wide across all house brands (Yohji Yamamoto FEMME/POUR HOMME, Y's, Ground Y, LIMI feu, WILDSIDE, S'YTE, discord, HQ, warehouse) - the feed has a brand facet (?brand=N) but 166 is the full 株式会社ヨウジヤマモト total. Note theshopyohjiyamamoto.com (Shopify e-shop) sitemap has NO careers page; recruiting lives only on the .net site."
Youth To The People,PARENT_FEED,"{""parent"":""L'Oreal"",""vendor"":""avature"",""portal"":""https://careers.loreal.com/en_US/jobs/SearchJobs/"",""portal_id_ats"":""170"",""brand_facet"":false}",,"NO OWN CAREERS INFRASTRUCTURE - proven. robots ALLOWED (www.youthtothepeople.com/robots.txt 200, 852 bytes; only faceted-nav query params Disallowed, Crawl-delay 5). Site is BLOCKED_WAF to curl (both Chrome UA and curl default UA return HTTP=403 Cloudflare 'Just a moment...' interstitial), so headless Chromium was used. Rendered homepage (500KB DOM) HTTP=200: 137 hrefs, ZERO matching career|job|hiring|join-us|talent; footer has no careers link. Path probes via Chromium all 404: /careers, /careers.html, /general-pages/careers.html, /jobs. /general-pages/about-v1.html HTTP=200 has no careers link. Salesforce Commerce Cloud storefront, no ATS. => covered by the L'Oreal group Avature feed. CORRECTION TO PRIOR GUIDANCE: that Avature deployment does NOT honour the keyword filter - https://careers.loreal.com/en_US/careers/SearchJobs/?searchByKeyword=X 301-redirects to /en_US/jobs/SearchJobs/ and the returned page is byte-comparable for searchByKeyword=Youth+To+The+People, =Youth, =zzzznope and =(empty): the SAME 20 job ids (208631,217837,227297,235883,239341,241889,...) in all four, and the page's own analytics payload reports searchKeyword:"""" with numberResults:""999+"". So the earlier 0-vs-0 reading is NOT evidence of zero YTTP postings - the filter is inert and its counts are worthless. No brand facet is available, so no brand-attributable count can be stated; job_count left EMPTY rather than guessed (group-wide the portal reports 999+)."
Yue Sai,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/"",""searchParam"":""search"",""searchValue"":""Yue Sai""}",0,"L'Oreal China brand. Same verified Avature portal (robots ALLOWED). search='Yue Sai' -> 'Showing 1- 0 of 0 result'; 'Yuesai' -> 0. Controls prove the filter is live (Lancome=20, YSL=92, Garnier=5, Kerastase=6); negative control zzzznope -> 0. Verified ZERO on a working feed"
Yuima Nakazato,NONE,,,"robots.txt 404 on yuimanakazato.com and www (no robots file; ALLOWED by default). Homepage http://www.yuimanakazato.com/ HTTP 200 (22KB static HTML, jQuery fullPage.js). Full sitemap enumerated: http://www.yuimanakazato.com/sitemap.xml HTTP 200, 83 <loc> entries - all are /, /news/, /about.html, /contact.html, /collection/*.html and PDFs. ZERO careers/recruit/jobs URLs. Standard paths /careers /career /jobs /recruit /contact /about all HTTP 404 (server 404s properly; /zzzznope also 404 = no soft-404 masking). PROVEN ABSENCE: small independent couture atelier, no careers infrastructure."
Yves Delorme,EMAIL_ONLY,"{""email"":""recrutement@fremaux.fr""}",,"robots.txt 404 on yvesdelorme.com/www (ALLOWED by default). Homepage https://www.yvesdelorme.com/ HTTP 200 (101KB). Footer is JS-rendered; Playwright render (bf.js) exposed exactly one recruitment link: mailto:recrutement@fremaux.fr?subject=Candidature%20Yves%20Delorme (Fremaux Delorme is the parent group). No ATS host, no careers subdomain. https://www.yvesdelorme.com/sitemap.xml HTTP 404. No job feed exists - applications go to a group mailbox."
Yves Rocher,SuccessFactors,"{""host"":""careers.groupe-rocher.com"",""search_path"":""/search/"",""pagination"":{""param"":""startrow"",""step"":10},""brand_facet"":{""param"":""optionsFacetsDD_customfield1"",""value"":""Yves Rocher""},""job_url_pattern"":""/job/{slug}/{id}/""}",13,"robots.txt https://careers.groupe-rocher.com/robots.txt HTTP 200 - ALLOWED (Disallow list covers only /applybutton/ /talentcommunity/ /emailsubscribe/ /email/image/ /services/ /preapply/ /error /unsubscribe/ /reset/; /search is NOT disallowed). SAP SuccessFactors confirmed. GET /search/?startrow=0 HTTP 200, header 'Results 1 to 10 of 66'. CORRECTION TO BRIEF: page step is 10, NOT 25 - startrow=0,25,50 returned overlapping windows; with startrow=0,10,20,30,40,50,60,70 I collected exactly 66 unique /job/{slug}/{id}/ numeric ids, matching the declared 66 (startrow=70 returned 0 rows). BRAND FACET EXISTS (contrary to the brief's fallback): select id=optionsFacetsDD_customfield1 labelled 'Brand'. Query param optionsFacetsDD_customfield1 works server-side. NEGATIVE CONTROL: ?q=zzzznope HTTP 200 with 0 href=/job/ links, and facet value 'Zzzznope' returns NO results header at all - filter is exact-match, not fuzzy. Yves Rocher facet: 'Results 1 to 10 of 13'; paged startrow=0,10 and collected 13 unique job ids (slugs confirm YVES-ROCHER / Groupe-Rocher HFX postings, Issy-les-Moulineaux + La Gacilly). Sibling brands for cross-check: Petit Bateau 21, Groupe Rocher 29, Sabon 2; Stanhome/Dr Pierre Ricaud/Arbonne/Flormar return no results (not on this careers site). 13+21+2+29=65 of 66 group-wide."
Yves Saint Laurent Beauté,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/"",""searchParam"":""search"",""searchValue"":""YSL""}",92,"L'Oreal Luxe brand. Same verified Avature portal (robots ALLOWED; zzzznope -> 0). GET ?listFilterMode=1&search=YSL&jobOffset=0..80 -> header 'Showing 1- 92 of 92 results' and 92 unique numeric job ids = EXACT MATCH. Titles confirm the beauty line e.g. 'YSL Travel Retail Beauty Advisor, London Heathrow Terminal 3', 'YSL Makeup Artist | Chadstone', '[2026] LOA CH - Store Manager 100% Lancome-YSL Manor Lausanne'. NOTE the spelled-out form does NOT work on this portal: search='Yves Saint Laurent' -> 0 and 'Saint Laurent' -> 0, so 'YSL' is the required token"
Zadig & Voltaire,EMAIL_ONLY,"{""careers_page"":""https://zadig-et-voltaire.com/eu/fr/content/job-recruitment"",""email"":""recruitment@zadigetvoltaire.com""}",,"robots.txt https://zadig-et-voltaire.com/robots.txt HTTP 200 - ALLOWED (Disallow only /*/my-account /*/checkout/ /api/ /healthz /metrics etc; content pages permitted). Careers page found via declared sitemap: sitemap-index.xml -> media/sitemap_fr_fr.xml contains https://zadig-et-voltaire.com/eu/fr/content/job-recruitment (HTTP 200, 378KB Nuxt SPA). Playwright render + network capture: ALL XHR are first-party /_nuxt/*.js plus analytics (abtasty, nosto, trackad, newrelic) - NO ATS host contacted. Rendered page text states: 'Envoyez votre candidature a : recruitment@zadigetvoltaire.com'. ATS slug sweeps all negative: boards.greenhouse.io/zadigetvoltaire 404, api.greenhouse.io/v1/boards/zadigetvoltaire/jobs 404, api.lever.co/v0/postings/zadigetvoltaire 404, zadigvoltaire.recruitee.com/api/offers/ 404, zadigetvoltaire.flatchr.io 404; SmartRecruiters ZadigVoltaire returned 200 totalFound:0 BUT negative control zzzznope returned the identical 200 totalFound:0 - proves nothing. careers./jobs./recrutement.zadig-et-voltaire.com and zadig-et-voltaire-career.talent-soft.com all curl 000 (DNS does not resolve, NOT a 403). No ATS."
Zenith,LVMH-jobhub-Algolia,"{""vendor"": ""algolia"", ""appId"": ""SDMQTD2J9T"", ""apiKey"": ""a5c6f4c87dea9aac0732631cd87583b2"", ""host"": ""https://SDMQTD2J9T-dsn.algolia.net"", ""index"": ""PRD-en-us"", ""altIndex"": ""PRD-fr-fr"", ""path"": ""/1/indexes/PRD-en-us/query"", ""method"": ""POST"", ""filters"": ""category:job AND maison:\""Zenith\"""", ""brandFacet"": ""maison"", ""pagination"": {""param"": ""page"", ""hitsPerPage"": 100, ""pages"": ""0..52"", ""noPaginationLimit"": true}}",5,"REPRODUCED PERSONALLY end-to-end (not relayed). robots https://www.lvmh.com/robots.txt HTTP 200: 'Allow: /' with only /*espace-candidat, /*spazio-candidato, /*candidate-portal disallowed -> the jobhub API and /join-us are ALLOWED. CREDENTIAL SOURCE: NOT the page HTML - the only 32-hex string there (7c63e0811361cb49e5f9c4fd8e30c853) is a PRISMIC IMAGE FILENAME (images.prismic.io/lvmh-com/a29b71e6-...-_7c63e08...png), NOT an API key; using it returns 403 'Invalid Application-ID or API key'. The real credentials are in the Next.js chunks: GET https://www.lvmh.com/join-us/our-job-offers (200, 2.1MB) references 42 /_next/static/chunks/*.js; downloaded all 42; chunk 1684-cb13fb31876a1185.js and chunk 1858-88d0ae71dc188158.js BOTH contain the literal algoliasearch call: n.n(l)()(""SDMQTD2J9T"",""a5c6f4c87dea9aac0732631cd87583b2""). (chunk 1684 then overrides .search to proxy via /api/search, but the direct Algolia endpoint works with these credentials.) VERIFIED QUERY: POST https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query with headers X-Algolia-Application-Id, X-Algolia-API-Key, Content-Type: application/json. NO Referer/Origin header required. Body {""query"":"""",""filters"":""category:job"",""hitsPerPage"":0} -> nbHits=5222, exhaustiveNbHits=true (filters:'' -> 7368, so category:job is a real constraint). PAGINATION CEILING: there is NO paginationLimitedTo cap on this index - page=10 with hitsPerPage=100 returns real hits (no error); nbPages=53; pages 0..51 return 100 each, page 52 returns 22, page 53 returns 0 => 52*100+22 = 5222. FULL ENUMERATION RUN: paged 0..52 and collected 5222 UNIQUE objectIDs = declared nbHits EXACTLY (declared == counted). BRAND FACET: 'maison' is a real server-side facet with 53 values (Sephora 1955, Louis Vuitton 589, Christian Dior Couture 477, Tiffany & Co. 409...). filters='category:job AND maison:""Zenith""' -> nbHits=5, all 5 hits returned with maison='Zenith': 'HORLOGER DIAGNOSTIQUEUR SAV (F/H)' La Chaux de Fonds, 'Regleur CN (F/H)' La Chaux de Fonds, 'ZENITH - Client Advisor' Tokyo, 'Zenith Marketing Manager' New York, 'Sales Advisor Shanghai'. Facet count endpoint independently agrees: facets['maison']['Zenith']=5. NEGATIVE CONTROL maison:""zzzznope"" -> nbHits=0. NOTE zenith-watches.com itself is BLOCKED_WAF (robots.txt HTTP 403 Akamai) and was NOT crawled. CORRECTS three earlier batches that recorded LVMH as having no enumerable listing route."
Zimmermann,EMAIL_ONLY,"{""careers_page"":""https://www.zimmermann.com/jobs-at-zimmermann"",""emails"":[""retailcareers@zimmermann.com"",""careers@zimmermann.com"",""eucareers@zimmermann.com"",""uscareers@zimmermann.com""]}",,"robots.txt https://www.zimmermann.com/robots.txt HTTP 200 - ALLOWED (Magento defaults; /jobs-at-zimmermann not disallowed). Careers page located via the robots-declared sitemap https://www.zimmermann.com/media/sitemap/sitemap_au.xml which lists https://www.zimmermann.com/jobs-at-zimmermann (HTTP 200). Playwright render of that page: only external hosts are onelink-edge (translation) and tryzens-analytics - NO ATS. Rendered text: applications by email to retailcareers@ / careers@ / eucareers@ / uscareers@zimmermann.com plus 'follow our LinkedIn page'. AU ATS sweeps ALL FAILED THE NEGATIVE CONTROL: zimmermann.elmotalent.com.au/careers/zimmermann/jobs returned 200 but is ELMO's generic marketing page (title 'ELMO Software: The Complete Australian HR Software Platform') and zzzznope.elmotalent.com.au returned a byte-identical 297713-byte response; zimmermann.applynow.net.au, jobs.smartrecruiters.com/zimmermann and zimmermann.recruitmenthub.com.au each returned responses byte-identical to their zzzznope controls. api.greenhouse.io/v1/boards/zimmermann/jobs 404, api.lever.co/v0/postings/zimmermann 404, careers.zimmermann.com curl 000 (no DNS). No ATS."
Zolotas,BLOCKED_WAF,,,"Cloudflare Turnstile blocks everything. robots.txt COULD NOT BE READ: https://zolotas.gr/robots.txt and https://www.zolotas.gr/robots.txt both return HTTP 403 with a Cloudflare 'Just a moment...' interstitial (cZone: zolotas.gr, Ray a3476ac38fe50f1e) - so this is BLOCKED_WAF, NOT disallowed-by-robots; no Disallow line exists to cite. Homepage https://zolotas.gr and https://www.zolotas.gr both HTTP 403 with the same challenge. /sitemap.xml HTTP 403 challenge. Tried curl default UA AND a Chrome UA - both 403. Headless Chromium (bf.js, 12s wait) ALSO failed: the rendered DOM is the Turnstile challenge page itself ('Performing security verification', cf-turnstile-response widget, Ray a3477b8f9eedf82e) - unlike FashionJobs, Chromium does NOT pass this one. ATS undetermined; job_count left EMPTY rather than guessed."
Zomer,NONE,,,"No website could be found to check, so no robots verdict is possible for a brand host. Domain sweep - ALL curl 000 (DNS does not resolve, distinct from a 403): zomer.world, zomer.fashion, studio-zomer.com, zomer-studio.com, wearezomer.com, wearezomer.nl, zomeramsterdam.com, zomer.paris, zomer.nu, zomerofficial.com, zomer.store, shopzomer.com, zomer.eu, zomerlabel.com, zomerlabel.nl, zomer-label.com, zomer.amsterdam, zomer.studio. NAME COLLISIONS REJECTED: zomer.nl redirects to a LinkedIn personal profile (linkedin.com/in/martijnzomer - not probed further, LinkedIn is on the never-probe list); zomerstudio.com HTTP 200 is 'Zomer Studio', a one-person software developer shipping iOS apps (Mabel, Markley) on WordPress - NOT the Amsterdam fashion label; zomer.co returns a 114-byte placeholder. ATS slug sweeps all 404 with matching zzzznope controls: greenhouse (404 vs 404), lever (404 vs 404), recruitee (404 vs 404), ashby (404 vs 404), workable widget (404 vs 404); jobs.personio.de/zomer curl 000. No careers infrastructure discoverable."
Zuhair Murad,NONE,,,SOFT-404 TRAP - a 200 proved nothing here. Homepage https://www.zuhairmurad.com/ HTTP 200 (421KB). Every probed path returns HTTP 200 with exactly 421311 bytes: /careers /career /jobs /job /recrutement /carrieres /nous-rejoindre /join-us /en/careers /fr/carrieres /karriere /work-with-us /talents. Proved these are bogus by diffing /careers against the nonsense control /zzzznope-negative-control: both 421311 bytes and the ONLY differing line is the basicSiteData timestamp/session blob - i.e. the site serves the same SPA shell for any URL. No careers page exists. No ATS host referenced anywhere in the markup.
Normal,Teamtailor,"{""host"":""jobs.normal.eu"",""jobs_path"":""/jobs"",""pagination"":""/jobs/show_more?page=N"",""job_url_pattern"":""https://jobs.normal.{tld}/jobs/{id}-{slug}"",""country_subdomains"":[""normal.eu"",""normal.dk"",""normal.fr"",""normal.it"",""normal.nl"",""normal.es""]}",308,"robots.txt https://jobs.normal.eu/robots.txt HTTP 200 - ALLOWED (Disallow only /app/ /messages/ /messenger/ /facebook/tab/ /jobs/internal/; /jobs is explicitly permitted and the sitemap lists it. Note: the file also carries 'Content-Signal: ai-train=no, ai-input=yes' and a blanket block for UA 'aihitdata' - I am neither, and I only read the permitted /jobs listing). Vendor = Teamtailor, confirmed by the Teamtailor branding/utm_source=career-site footer in the page markup, not by a hostname guess. www.normal.eu/robots.txt HTTP 404 and normal.dk/robots.txt HTTP 404. DECLARED COUNT vs COLLECTED: the /jobs header declares '443 jobs' and the embedded location-map markers sum to 446 across 319 markers, but paging /jobs/show_more?page=1..23 and deduping the job URLs yields 308 UNIQUE job ids (page 24 returned 0 rows and stopped; no page repeated its predecessor). I report 308 = ads actually collected; the 443/446 figures count job-to-location pairs, since single ads are posted across multiple stores. Jobs span jobs.normal.eu/.dk/.fr/.it/.nl/.es country subdomains under one Teamtailor account. DISPROVES the brief's caution that teamtailor.com has wildcard DNS: https://normal.teamtailor.com returned a clean HTTP 404, and the real account is on the vanity domain jobs.normal.eu."
