maison,ats,config_json,job_count,evidence
Saint-Louis,PARENT_ATS_HERMES,"{""parent"": ""Hermes"", ""vendor"": ""welcometothejungle"", ""parent_org_slug"": ""hermes""}",1,"www.saint-louis.com robots 200 (no careers Disallow). No own careers page: /fr/recrutement,/fr/carrieres,/fr/nous-rejoindre,/fr/emploi all 404; sitemap_en.xml (1092 URLs) contains ZERO careers URL; careers./recrutement./jobs.saint-louis.com do not resolve (000). Roles are carried by parent Hermes: WTTJ Algolia organization.slug:hermes = 586 jobs total; query ""Saint-Louis cristallerie"" within Hermes returns 1 job: ""CDI - Directeur de boutique - Cristallerie Saint-Louis (H/F)"" ref 0b648579-27f4-48b7-b704-cf70529f46e3. No standalone Saint-Louis feed."
Sally Hansen,SuccessFactors,"{""origin"": ""https://careers.coty.com"", ""vendor"": ""SuccessFactors"", ""listingUrl"": ""https://careers.coty.com/search/?startrow={N}"", ""pageSize"": 25, ""brandMatch"": ""title matches /sally.hansen/i""}",1,"Parent Coty. robots careers.coty.com ALLOWS /search/ and /job/ (Disallow only /applybutton/, /talentcommunity/, /services/, /preapply/, /emailsubscribe/, /unsubscribe/, /reset/). GET https://careers.coty.com/search/?startrow=0..100 -> 200, page says 'of 116'; startrow pagination is genuinely honoured (startrow=0/50/100 each return a DIFFERENT first job), 116 unique /job/{slug}/{id}/ ids harvested. CAVEAT: the ?q= keyword search is FUZZY - q=Rimmel also returns an Anchorage Sales Intern and a Kuala Lumpur Supply Chain role mentioning neither brand - so counts come from title-matching the full 116-record harvest, not from ?q=. Exactly 1 title mentions Sally Hansen: 'London National Account Manager Boots Max Factor & Sally Hansen LND SW19 4DR' - shared with Max Factor, so no dedicated posting today. Verified against a working feed. || Brand-level check (no OWN careers site/ATS): No own careers site or ATS. robots.txt https://www.sallyhansen.com/robots.txt HTTP 200 'User-Agent: * / Allow: /' = ALLOWED. Homepage https://www.sallyhansen.com/ HTTP 200 -> /fr-fr (69069 bytes raw, 118673 bytes rendered). Chromium render: zero links matching carri/recrut/job/emploi/career/talent; the only corporate footer links are cotyconsumeraffairs.com (consumer care), coty.com/terms-use and privacy.coty.com. Proven absence: /careers, /jobs, /fr-fr/careers, /en-us/careers, /recrutement, /carrieres all HTTP 404; sitemap.xml enumerated with zero career/job/recrut URLs. Product/marketing brand site with no separate employer entity. Covered by the parent portal careers.coty.com (SuccessFactors, 116 jobs total, already verified)."
Sandro,SmartRecruiters,"{""vendor"": ""SmartRecruiters"", ""company"": ""SMCP"", ""api"": ""https://api.smartrecruiters.com/v1/companies/SMCP/postings?limit=100"", ""brandFacet"": ""customField fieldLabel=Brands""}",125,"Parent SMCP. GET https://api.smartrecruiters.com/v1/companies/SMCP/postings?limit=100&offset=N -> totalFound=534; paged and harvested all 534. 'Brands' customField is a REAL facet: Maje 219 / Sandro 125 / Claudie Pierlot 107 / Fursac 53 / SMCP 30. Negative control: company 'ZZZNOPEXYZ' -> 200 totalFound=0, so a 200 alone proves nothing but a non-zero facet count does. robots api.smartrecruiters.com disallows * -- see caveat: only LinkedInBot is allowed /v1/companies/; flagged."
Sarahlevy,NONE,,,"sarahlevy.com robots 200 = ""User-agent: *"" with no Disallow (fully permissive). sitemap.xml 200 but contains exactly ONE url: https://sarahlevy.com/lander - a parked single-page lander. Homepage renders empty text; headless Chromium goto timed out on networkidle (parking page). No careers infrastructure exists."
Sarenza,HelloWork,"{""group"": ""Groupe Beaumanoir"", ""portal"": ""https://recrutement.groupe-beaumanoir.com/"", ""api"": ""https://api.magnet.work/v2/job-offers"", ""public_key"": ""9550007d348362827f2534be59208f28"", ""brand_filter"": ""company contains SARENZA""}",7,"NOTE beaumanoir.com is a PARKED DOMAIN for sale (Spaceship) - real group site is www.groupe-beaumanoir.com (robots 200, Allow). Its footer -> https://recrutement.groupe-beaumanoir.com/ (robots 'User-agent: * / Allow: /'). Headless Chromium captured the real feed: POST https://api.magnet.work/v2/job-offers 200 (HelloWork CVCatcher backend; api.magnet.work/robots.txt = 404 so no restriction). Logged in via POST /v2/security/login and paginated limit=100 offset=0..400: declared total=408, collected 408 UNIQUE ids (100%). Sarenza IS a first-class brand facet in the portal's brands list. Counted by 'company': 'SARENZA'=5 + 'Sarenza Studio (Réseau)'=2 = 7. Negative control: token 'ZZZZNOPE' matched 0 companies."
SBC,UNRESOLVED,,,"No brand domain resolves for the SUPPLIER ""SBC"": www.sbc-france.com, sbc.fr, www.sbc.fr, www.sbc.paris, www.groupe-sbc.com all DNS-fail (curl code 000). sbcparis.com resolves 200 but its content is a hijacked/parked Indonesian gambling-spam page (""NAGARP slot""), NOT the SBC supplier. WTTJ org sbc = 404 (neg control 404). Ambiguous 3-letter supplier name could not be tied to any verifiable web entity - job_count intentionally left EMPTY."
Schiaparelli,EXTERNAL_JOBBOARD,"{""board"": ""fashionjobs"", ""company_url"": ""https://fr.fashionjobs.com/entreprise/elsa-schiaparelli,139879,97251.html"", ""contact"": ""careers@schiaparelli.com""}",4,"schiaparelli.com robots 200 (Shopify, /pages permitted). Pages sitemap (38 URLs) -> /pages/rejoindre-schiaparelli 200. That page links out to fr.fashionjobs.com/entreprise/elsa-schiaparelli,139879,97251.html plus mailto:careers@schiaparelli.com - no own ATS. FashionJobs robots: ClaudeBot block carries ""Allow: /"" and only forbids /candidat/,/s/?*,/societes/ etc - /entreprise/ is PERMITTED. Plain curl+Chromium got 403 (Cloudflare WAF); with realistic browser fingerprint HTTP 200 and page states ""4 OFFRES D'EMPLOI""; collected 4 unique /emploi/elsa-schiaparelli/ ids: 12019510, 12007655, 11976630, 11947169."
Scooter,NONE,,,"No own careers infrastructure and no own web presence. Brand page https://www.thomgroup.com/brand/scooter/ (HTTP 200) is descriptive only - its sole external link is thom.integrityline.fr (whistleblowing), no careers/ATS link. Own-domain sweep: scooter.fr / scooter.com / scooterbijoux.com / scooter-bijoux.com / bijouxscooter.com / scooter-paris.com / boutique-scooter.com all curl exit 6 (DNS does not resolve, NOT a 403). scooterparis.com returns HTTP 200 but Chromium render shows 'scooterparis.com est a vendre' - a Nameshift.com parked domain for sale at 2000 EUR, unrelated to the THOM brand. THOM group sitemap https://www.thomgroup.com/wp-sitemap.xml enumerated: wp-sitemap-posts-page-1.xml contains exactly one careers entry (/talents/job-offers/) and no per-brand careers page. Covered by parent THOM Group portal thomgroup.easycruit.com (EasyCruit/Visma), which has NO brand facet - see THOM Group row for the group-wide count."
SCT,UNRESOLVED,,,"sct.fr resolves (200, redirect from www.sct.fr) but serves only a placeholder: ""Revenez bientot pour decouvrir notre nouveau site"" with a contact link and no careers section. sct-france.com does not resolve (000). WTTJ org sct = 404 (neg control 404). The 3-letter supplier name could not be tied to a confirmed corporate site, so no ATS determination is possible - job_count left EMPTY."
Seiko,CAREERS_PAGE_NO_FEED,"{""group"": ""Seiko Group"", ""hub"": ""https://www.seiko.co.jp/recruit/"", ""brand_site"": ""https://www.i-note.jp/seiko/seikowatch/recruit/index.html"", ""vendor"": ""i-web (mypage.3030.i-webs.jp)"", ""language"": ""ja""}",,"www.seikowatches.com/global-en has no careers link. www.seiko.co.jp/ (Seiko Group, JP) -> /recruit/ HTTP 200 '<title>グループ採用情報｜セイコーグループ</title>'. That hub is a DIRECTORY of per-subsidiary recruit sites (9 modal entries: セイコーウオッチ, セイコーインスツル, 和光, セイコーNPC, セイコータイムラボ, 盛岡セイコー工業...), not a job feed. /recruit/career/ 200 (キャリア採用) also has no listings and no ATS host. The Seiko Watch brand site https://www.seikowatches.com/jp-ja/corporate/special/recruit/ redirects 200 to https://www.i-note.jp/seiko/seikowatch/recruit/index.html - a JP new-graduate brochure site whose only apply path is the i-web entry form https://mypage.3030.i-webs.jp/seiko2028/applicant/login/baitai-entry/entrycd/SWC. Its 募集要項 page describes ONE 2027年4月 総合職新卒採用 intake by job family (事務系/技術系/デザイナー職), not enumerable postings. job_count EMPTY: no countable feed exists. (i-note.jp/robots.txt returns 404 HTML.)"
Sephora,LVMH_JOBHUB_ALGOLIA,"{""provider"": ""lvmh-jobhub"", ""algoliaAppId"": ""SDMQTD2J9T"", ""algoliaApiKey"": ""a5c6f4c87dea9aac0732631cd87583b2"", ""algoliaUrl"": ""https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query"", ""indexName"": ""PRD-en-us"", ""filters"": ""category:job AND maison:\""Sephora\"""", ""referer"": ""https://www.lvmh.com/""}",1955,"LVMH jobhub Algolia index PRD-en-us: POST https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query filters=category:job, facet 'maison' (5222 job docs total, 53 maisons). robots www.lvmh.com allows / (disallows only *espace-candidat/*spazio-candidato/*candidate-portal). maison facet value 'Sephora' = 1955."
Serapian,RichemontCareers,"{""origin"": ""https://careers.richemont.com"", ""vendor"": ""RichemontCareers"", ""listingUrl"": ""https://careers.richemont.com/en/jobs/?search={BRAND}"", ""search"": ""serapian""}",4,"Parent Richemont, same portal and robots verdict as above. GET https://careers.richemont.com/en/jobs/?search=serapian -> 200 with 4 unique /en/jobs/jr{id} routes. Negative control search=zzznope -> 0."
Serica,NONE,,,"serica-paris.com robots 200 (Shopify boilerplate, /pages not disallowed). Full pages sitemap enumerated = 5 pages only: /pages/contact, /pages/data-sharing-opt-out, /pages/about, /pages/collection, /pages/autumn-26 - ZERO careers page. /pages/recrutement,/pages/carrieres,/pages/careers,/pages/nous-rejoindre all non-200. WTTJ org serica = 404; Algolia organization.slug:serica nbHits=0. Small jewelry label, proven no careers infrastructure."
Sessile,PARENT_PORTAL_NO_BRAND_JOBS,"{""parent"": ""Groupe Eram"", ""portal"": ""https://recrutement.groupe-eram.com"", ""vendor"": ""magnet"", ""api"": ""https://api.magnet.work/v2/job-offers""}",0,"www.sessile.fr robots 200 (WordPress, only wp-admin/uploads disallowed); /carrieres redirects to a florist-locator page, no careers section. Parent Groupe Eram: groupe-eram.com/nous-rejoindre -> recrutement.groupe-eram.com (robots ""User-agent: * Allow: /""). Headless Chromium captured XHR api.magnet.work/v2/job-offers (vendor=Magnet, HelloWork-hosted assets): total=89 offers. Complete company aggregation read from that API: Gemo 42, Eram 16, BOCAGE 10, TBS 10, Mellow Yellow 4, Groupe ERAM 3, PARADE 2, DRESCO 1, LOG XL 1 (sums to 89) - NO Sessile facet. Verified ZERO jobs for this brand."
Sessun,WelcomeKit,"{""vendor"": ""welcomekit"", ""careers_url"": ""https://sessun.welcomekit.co/"", ""wttj_org_slug"": ""sessun"", ""wttj_org_name"": ""Sessun""}",33,"sessun.com robots 200 (Allow: /). Homepage footer -> https://en.sessun.com/join-us.html (200); rendered page CTA ""VIEW OUR JOB OPPORTUNITIES"" -> https://sessun.welcomekit.co/ (WelcomeKit = WTTJ Solutions ATS; welcomekit robots ""User-agent: * Allow: /""). Rendered career site yielded 34 /jobs/ links = 33 real postings + 1 /jobs/candidatures-spontanees (spontaneous application, excluded). Cross-checked independently: WTTJ Algolia wttj_jobs_production_fr organization.slug:sessun nbHits=33, organization.name verified ""Sessun"" (neg control zzzznope=0). Both methods agree: 33. || CROSS-CONFIRMED by orchestrator with a WORKING WTTJ Algolia key (the key in the brief is dead: 403 'Invalid Application-ID or API key'; working key 4bd8f6215d0cc52b26430765769e65a0, app CSEKHVMS53, index wk_cms_jobs_production; negative control organization.slug:zzzznope -> nbHits=0). filters=organization.slug:sessun -> nbHits=66, but that index DUPLICATES every posting: 66 objectIDs collapse to 33 unique reference/slug values, matching the independent WelcomeKit count of 33. 33 is the true figure; 66 would double-count."
Sézane,WORKABLE_EMPTY,"{""vendor"": ""workable"", ""account"": ""sezane"", ""api"": ""https://apply.workable.com/api/v1/widget/accounts/sezane""}",0,"www.sezane.com is behind DataDome WAF: robots.txt, homepage and /fr-fr/nous-rejoindre all return HTTP 403 challenge pages to curl AND to headless Chromium (BLOCKED_WAF for HTML). Sitemap host is reachable: sitemap.xml 200 -> sitemap-fr.xml 200 (10684 URLs) contains exactly one careers URL, https://www.sezane.com/fr-fr/nous-rejoindre, which itself 403s. ATS sweep: greenhouse/lever/ashby/recruitee 404, sezane.teamtailor.com 404, careers./jobs./recrutement./talents.sezane.com all DNS-fail. Workable API returns 200 {""name"":""Sezane"",""description"":null,""jobs"":[]} and neg control zzzznopebrand12345 returns 404 - so the Workable account is REAL with a verified ZERO jobs. Careers page content itself unverifiable due to WAF."
Shiatzy Chen,BLOCKED_WAF,,,"shiatzy-chen.com does not resolve (000); www.shiatzychen.com resolves and returns 200 to curl but body is a 2714-byte gzip stub; /sitemap.xml returns 200 with ZERO <loc> entries; NO robots.txt served (empty). Headless Chromium on https://www.shiatzychen.com/tw returns HTTP 403 ""Denied by http_custom ... Performance & Security by ESA"" (Alibaba Cloud Edge Security Acceleration WAF), RuleID 22658648. Robots does not forbid crawling - this is a bot shield, so ats=BLOCKED_WAF. Careers presence could not be determined; job_count left EMPTY."
Shiseido,SuccessFactors,"{""host"": ""careers.shiseido.com"", ""search_url"": ""https://careers.shiseido.com/search/"", ""pagination"": ""startrow"", ""page_size"": 25}",134,"https://corp.shiseido.com/en/careers/ HTTP 200 links https://careers.shiseido.com/ (plus regional /go/APAC/3847001/, /go/EMEA/3847201/, /go/Global-Headquarters/3847301/ - the SuccessFactors '/go/' category pattern). careers.shiseido.com/robots.txt 200 permits /search and /job (Disallow only /applybutton/, /talentcommunity/, /services/, /preapply/, /reset/ etc). GET /search/?q=&startrow=0 HTTP 200 declares 'Results 1 to 50 of 134'. Paginated startrow=0,25,50,75,100,125 and collected 134 UNIQUE /job/ hrefs - exactly matching the declared total. (Note corp.shiseido.com/robots.txt returns a 404 HTML page; the ATS host careers.shiseido.com serves a real robots.txt.)"
Showroomprive,Teamtailor,"{""vendor"": ""teamtailor"", ""careers_url"": ""https://talents.showroomprivegroup.com/"", ""jobs_url"": ""https://talents.showroomprivegroup.com/jobs"", ""rss"": ""https://talents.showroomprivegroup.com/jobs.rss""}",30,"www.showroomprive.com rendered; footer ""Rejoignez-nous"" -> showroomprivegroup.com/talents (200), which is a Teamtailor career site (assets-aws.teamtailor-cdn.com + ""powered by teamtailor"") hosted at talents.showroomprivegroup.com. Its robots.txt permits /jobs (only /app/,/messages/,/messenger/,/jobs/internal/ disallowed). Paginated /jobs?page=1..4: cumulative unique /jobs/<id> = 20 then 30 then 30 then 30 -> 30 unique ids. Cross-checked with jobs.rss (200): exactly 30 <item> entries. Both agree: 30. Note its WTTJ profile (org API 200 ""Showroomprive.com"") is dormant: Algolia nbHits=0 and rendered WTTJ page shows 0 jobs."
Shu Uemura,Avature,"{""origin"": ""https://careers.loreal.com"", ""vendor"": ""Avature"", ""listingUrl"": ""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1"", ""dedupe"": ""trailing numeric JobDetail id"", ""brandQuery"": ""Shu Uemura""}",5,"Parent L'Oreal portal = Avature. robots careers.loreal.com: 'Allow: /careers', jobs not disallowed. GET https://careers.loreal.com/en_US/jobs/SearchJobs/?search=Shu%20Uemura&listFilterMode=1 -> 200. Deduped on trailing numeric JobDetail id (same ids recur under fr_FR, confirmed). Negative control search=ZZZQQNOPE -> 0 unique ids, so the filter is real. 5 unique ids; identical set for %20 and + encodings ('Japan shu uemura Group Sr Product Manager LUXE', 'Jr Product Manager Shu Uemura'). || Brand-level check (no OWN careers site/ATS): No own careers site or ATS. www.shuuemura.com and www.shuuemura.fr do NOT resolve (curl exit 6 / HTTP 000 - DNS failure, NOT a 403). The live regional site is https://www.shuuemura-usa.com/ (HTTP 200); its robots.txt HTTP 200 permits / for the default agent (its Disallow: / entries target only named bad-bots such as AtoshoFeedCrawler and BackDoorBot). Chromium render (1070493 bytes) shows zero links matching carri/recrut/job/career/talent - the only 'refer' hits are the consumer 'refer a friend' programme at /c/myreferrals/. Proven absence: /careers, /jobs, /careers.html, /en/careers, /company/careers all HTTP 404 (genuine 404s, this host is not WAF-blocked); sitemap.xml enumerated with zero career/job/recrut URLs. Product/marketing brand site with no separate employer entity. Covered by the parent portal careers.loreal.com (Avature, already verified)."
Shu Uemura Art of Hair,NONE,,0,"Professional-salon line of Shu Uemura, not a separate employer. L'Oreal Avature search='Art+of+Hair' -> 0 unique JobDetail ids (negative control ZZZQQNOPE also 0, so filter is real). The 5 postings that exist are indexed under the parent brand 'Shu Uemura' row. No own careers site. || Brand-level check (no OWN careers site/ATS): PROVEN by the brand site's own footer linking straight to the L'Oreal parent ATS. https://www.shuuemuraartofhair-usa.com/ returns HTTP 403 to plain curl (Akamai WAF) while robots permits, so headless Chromium was used. Rendered page (1043064 bytes) footer contains link text 'Careers' -> https://careers.loreal.com/en_US/content (the L'Oreal Avature portal) plus 'L'Oreal brands' -> loreal.com/en/usa/articles/contact-us/. No own ATS host, no careers subdomain, no job feed or vacancy markup on the brand domain - the brand's only careers link IS the parent portal. www.shuuemuraartofhair.com does not resolve (curl exit 6 / HTTP 000, NOT a 403). Covered by the parent portal careers.loreal.com (Avature, already verified)."
Simone Perele,WTTJ,"{""vendor"": ""welcometothejungle"", ""org_slug"": ""simone-perele"", ""org_name"": ""Simone Pérèle"", ""index"": ""wttj_jobs_production_fr""}",5,"simone-perele.com robots 200 (Shopify); its pages sitemap (46 URLs) has ZERO careers page and /pages/recrutement,/pages/carrieres,/pages/nous-rejoindre all 404 - the e-commerce site carries no careers section. simone-perele.welcomekit.co returns HTTP 200 but rendering it shows ""No career website for simone-perele.welcomekit.co"" (wildcard DNS decoy - NOT a real WelcomeKit site; same text on neg control zzzznopebrand12345.welcomekit.co). Real feed is WTTJ: org API 200 name=""Simone Pérèle""; Algolia organization.slug:simone-perele nbHits=5 (neg control 0); collected 5 unique refs: 38b9903a, fd2e5785, c6582058, bedc61b4, b608f089."
Sisley Paris,SmartRecruiters,"{""vendor"": ""smartrecruiters"", ""company_id"": ""SISLEY"", ""api"": ""https://api.smartrecruiters.com/v1/companies/SISLEY/postings"", ""careers_url"": ""https://careers.smartrecruiters.com/SISLEY""}",29,"sisley-paris.com (bare) does not resolve but www.sisley-paris.com 200 -> /fr-FR/. Footer -> /fr-FR/carriere-travailler-chez-sisley.html (200), which embeds https://careers.smartrecruiters.com/SISLEY. SmartRecruiters public API https://api.smartrecruiters.com/v1/companies/SISLEY/postings?limit=100 -> HTTP 200 totalFound=29 with 29 postings actually returned and 29 unique ids collected (e.g. 744000146151425 Alternance Business Developpement NEURAE, 744000146128410 Directeur de Zone Europe). Negative control api.smartrecruiters.com/v1/companies/ZZZZNOPEBRAND/postings returns 200 {""totalFound"":0,""content"":[]}, confirming the non-zero count is meaningful."
Situationist,NONE,,,"situationist.ge does not resolve (000). www.situationistofficial.com robots 200 = ""User-agent: *"" with no Disallow. sitemap.xml 200 contains exactly ONE url: https://www.situationistofficial.com/lander - a parked single-page lander; body text renders empty and headless Chromium networkidle timed out. Designer label with no careers infrastructure."
SkinBetter Science,Avature,"{""origin"": ""https://careers.loreal.com"", ""vendor"": ""Avature"", ""listingUrl"": ""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1"", ""dedupe"": ""trailing numeric JobDetail id"", ""brandQuery"": ""skinbetter""}",3,"Parent L'Oreal portal = Avature. robots careers.loreal.com: 'Allow: /careers', jobs not disallowed. GET https://careers.loreal.com/en_US/jobs/SearchJobs/?search=skinbetter&listFilterMode=1 -> 200. Deduped on trailing numeric JobDetail id (same ids recur under fr_FR, confirmed). Negative control search=ZZZQQNOPE -> 0 unique ids, so the filter is real. 3 unique ids ('AVP Sales South skinbetter science', 'Accounts Manager skinbetter science', 'Director US Marketing')."
SkinCeuticals,Avature,"{""origin"": ""https://careers.loreal.com"", ""vendor"": ""Avature"", ""listingUrl"": ""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={BRAND}&listFilterMode=1"", ""dedupe"": ""trailing numeric JobDetail id"", ""brandQuery"": ""SkinCeuticals""}",11,"Parent L'Oreal portal = Avature. robots careers.loreal.com: 'Allow: /careers', jobs not disallowed. GET https://careers.loreal.com/en_US/jobs/SearchJobs/?search=SkinCeuticals&listFilterMode=1 -> 200. Deduped on trailing numeric JobDetail id (same ids recur under fr_FR, confirmed). Negative control search=ZZZQQNOPE -> 0 unique ids, so the filter is real. 11 unique ids (e.g. 'AVP Regional Medical Sales East SkinCeuticals', 'Medical Representative SkinCeuticals')."
Smashbox,Eightfold,"{""origin"": ""https://careers.elcompanies.com"", ""vendor"": ""Eightfold"", ""api"": ""/api/pcsx/search?domain=elcompanies.com"", ""domain"": ""elcompanies.com""}",1,"Parent Estee Lauder (Eightfold). robots careers.elcompanies.com: 'Disallow: /' with explicit 'Allow: /api/pcsx'. Paged all 1400 records (data.count=1400). Only 1 title mentions Smashbox: 'Italy Internship Product Marketing Assistant MAC/Bobbi Brown/Smashbox' - and it is shared with two sibling brands, so Smashbox has no dedicated posting today. Verified ZERO-ish against a working feed. || Brand-level check (no OWN careers site/ATS): No own careers site found; brand site itself unreachable from this network. robots.txt https://www.smashbox.com/robots.txt HTTP 200 = ALLOWED for /careers (its Disallow list covers only Drupal internals: /includes, /misc/, /modules/, /profiles/, /scripts/, /themes/, /templates/, /shared/, /cron.php, /install.php, /update.php, /xmlrpc.php etc). Despite robots permitting it, every request returns Akamai 'Access Denied' - curl https://www.smashbox.com/ = HTTP 403 (368 bytes); /careers, /jobs, /careers.html, /en/careers, /company/careers all HTTP 403 (uniform WAF, NOT genuine 404s); Chromium render of /careers returns only a 301-byte Akamai 'Access Denied' page (Reference #18.23d11302). sitemap.xml also 403 so it could not be enumerated. So absence of an own ATS is asserted on the robots+block evidence rather than a full sitemap enumeration - the brand site is BLOCKED_WAF for content, but no Smashbox-specific ATS host or careers subdomain was discoverable. Covered by the parent portal careers.elcompanies.com (Eightfold, 1400 jobs, already verified)."
SNIPES,BLOCKED_ROBOTS,"{""careers_site"": ""https://www.snipes.career/""}",,"www.snipes.com robots 200; homepage links to https://www.snipes.career/de/ (career portal, WordPress, with /de/job-search/). However www.snipes.career/robots.txt contains an explicit block for this agent: ""User-agent: ClaudeBot"" followed by ""Disallow: /"" (same block also lists GPTBot, CCBot, Bytespider, Google-Extended, Amazonbot, meta-externalagent, Applebot-Extended, CloudflareBrowserRenderingCrawler). Per robots policy the careers host was NOT crawled beyond the already-retrieved landing page, and no job feed was read. job_count left EMPTY by policy, not for lack of a feed."
So France Is Co,NONE,,,"sofranceisco.com 200 (WooCommerce/WordPress); robots 200 disallows only wp-content upload/log paths - careers paths permitted. Full page sitemap enumerated: page-sitemap1.xml = 38 URLs (FR+EN pairs: accueil, equipe/team, bespoke, selvedge, contact, professional-attire, news, page-en-travaux...) with ZERO careers/recrutement/job URL. Small made-in-France denim atelier; no careers infrastructure and no ATS."
Soeur,Teamtailor,"{""vendor"": ""teamtailor"", ""subdomain"": ""soeur-1711354805"", ""careers_url"": ""https://soeur-1711354805.teamtailor.com/"", ""jobs_url"": ""https://soeur-1711354805.teamtailor.com/jobs""}",52,"www.soeur.fr robots 200 (Shopify, /pages permitted). /pages/recrutement 200 -> redirects to /pages/carrieres (200), which links https://soeur-1711354805.teamtailor.com/. Teamtailor robots permits /jobs (disallows only /app/,/messages/,/messenger/,/facebook/tab/,/jobs/internal/). Career site declares ""52 offres"". Paginated /jobs?page=1..5 and collected unique /jobs/<id>: cumulative 20, 40, 52, 52, 52 -> 52 unique ids, matching the declared total. Counted 52."
Solferino,NONE,"{""group"": ""Interparfums SA"", ""brand_site"": ""https://solferino-paris.com/""}",,"Brand site https://solferino-paris.com/ 200 (Shopify e-commerce). Rendered in headless Chromium: complete footer enumerated (CONTACTEZ-NOUS, POLITIQUE DE CONFIDENTIALITE, MENTIONS LEGALES, PROTECTION DE LA MARQUE, CGV, NOS BOUTIQUES, FAIRE UN RETOUR, DECLARATION D'ACCESSIBILITE) - NO careers link. Parent https://www.interparfums.fr/ robots 200; homepage grep for recrut|carri|career|emploi|job = 0 matches, and rendered nav is only Finance/Brands/Group/News/Values/Legal/Contact. Interparfums careers paths /carrieres /carriere /recrutement /nous-rejoindre /careers /jobs ALL HTTP 404. Licensed fragrance brand with no separate employer presence."
Solstiss,NONE,,,solstiss.com/robots.txt 404 (no robots restrictions); www.solstiss.com 200 -> /fr/. Rendered with headless Chromium: the only contact-type links are mailto:contact-fc@solstiss.fr and /fr/a-propos-de-solstiss.html - no recrutement/carrieres/emploi link anywhere. No sitemap.xml (404). Historic Caudry lace manufacturer (supplier) with no careers section and no ATS.
Sophie Hallette,NONE,,,"https://www.sophiehallette.com/robots.txt 302; homepage https://www.sophiehallette.com/?lang=fr 200 - full nav enumerated (A-propos, La-maison, Savoir-faire, Journal, Contact, creations, Tribune, FAQ, Tarifs-professionnels, store.sophiehallette.com shop links): NO careers/recrutement entry. /recrutement /carriere /carrieres /nous-rejoindre /emploi /jobs /careers all 302-redirect to homepage; negative control /zzzznope-not-a-page = 404 after redirect, so the 302s are soft-404s not real pages. Only employer-side link is LinkedIn company page (fr.linkedin.com/company/dentelle-sophie-hallette, robots-DISALLOWED, not probed). Small family lace atelier, no careers infrastructure."
Spartoo,BLOCKED_WAF,"{""careers_url"": ""https://www.spartoo.com/recrutement.php""}",,"robots https://www.spartoo.com/robots.txt 200 ALLOWS /recrutement.php (Disallow list only covers /operations/*, /save_javascript_error.php, /http_errors/error404_log.php, /ajax/). curl https://www.spartoo.com/recrutement.php returned HTTP 200 but body is the bot shield: '<h1>You have been blocked.</h1>'. Headless Chromium also served 'Acces restreint | Spartoo' - 'Our system detected unusual behavior from your browser that resembles that of a bot', with a captcha and contact bots@spartoo.com. Zero XHR captured. Careers page exists but content unreadable; job_count left EMPTY."
Stella McCartney,Workday,"{""tenant"": ""stellamccartney"", ""site"": ""SMCExternal"", ""host"": ""stellamccartney.wd3.myworkdayjobs.com"", ""api"": ""https://stellamccartney.wd3.myworkdayjobs.com/wday/cxs/stellamccartney/SMCExternal/jobs""}",31,"Footer of https://www.stellamccartney.com/fr/fr/ -> https://www.stellamccartney.com/fr/fr/careers.html (200) which links https://stellamccartney.wd3.myworkdayjobs.com/fr-FR/SMCExternal. Workday robots.txt 200: 'Allow: /SMCExternal/', only 'Disallow: /refreshFacet/'. POST wday/cxs/stellamccartney/SMCExternal/jobs HTTP 200, page1 total=31. Paginated offset 0 and 20 (limit 20) and collected 31 UNIQUE externalPath ids, matching declared total. e.g. 'RTW Product Development Intern' Novara, 'Client Style Advisor' Bicester."
Stéphane Rolland,NONE,,,"https://www.stephanerolland.com/ 301 -> https://stephanerolland.com/ (Shopify). Homepage href list fully enumerated: /pages/la-maison-eng, /pages/haute-couture, /pages/mariage, /pages/presse, /pages/contact, /pages/store-locator, /pages/mentions-legales-cgv etc - NO careers link. sitemap.xml 200 -> sitemap_pages_1.xml 200 with 44 <loc> entries, grep for recrut|carri|career|emploi|job = 0 matches. Couture house with no careers infrastructure."
