maison	kind	score	verdict	signals	board_name	jobs	sample_url	reason
BLUE ERDOS	lever	0	HUMAIN	site-injoignable(0)	BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Inc	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Illusion	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Lake CBD	lever	0	HUMAIN	site-injoignable(0)	BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue LOOP Originals	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Industry	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Nude	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Nile	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Of A Kind	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Planet Eco-Eyewear	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Rebel	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Ridge Stitches	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
BLUE SEVEN	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
BLUE STANDARD	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Tribe	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Vanilla	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Crane	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Tomato	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Water Girls	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Water Spa	lever	0	HUMAIN	site-injoignable(0)	BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Eleven Everything	recruitee	0	AUTO-REJETE		Homepage	1	https://eleven.recruitee.com/o/eleven-consulting-group	board name "Homepage" ≠ maison
Eleven James	recruitee	0	AUTO-REJETE		Homepage	1	https://eleven.recruitee.com/o/eleven-consulting-group	board name "Homepage" ≠ maison
Eleven Six	recruitee	0	AUTO-REJETE		Homepage	1	https://eleven.recruitee.com/o/eleven-consulting-group	board name "Homepage" ≠ maison
Eleven W/shes	recruitee	0	AUTO-REJETE		Homepage	1	https://eleven.recruitee.com/o/eleven-consulting-group	board name "Homepage" ≠ maison
Elite Jewelers	greenhouse	0	AUTO-REJETE		Elite Physical Therapy, Inc. 	12	https://job-boards.greenhouse.io/elite/jobs/5098501007	board name "Elite Physical Therapy, Inc. " ≠ maison
Ember Wellness	recruitee	0	AUTO-REJETE		Homepage	22	https://ember.recruitee.com/o/intercity-bus-and-coach-driver-kirkcaldy	board name "Homepage" ≠ maison
Enable the Label	lever	0	HUMAIN	site-injoignable(0)	Enable	2	https://jobs.lever.co/enable/4ecb9452-de46-4794-b08c-c37216c81121	board name "Enable" ≠ maison
Equinox Fragrance	smartrecruiters-whitelabel	0	HUMAIN	site-injoignable(0)	Equinox	717	https://jobs.smartrecruiters.com/equinox/744000147093669	board name "Equinox" ≠ maison
Espace Montagne	lever	0	AUTO-REJETE		E Space	144	https://jobs.lever.co/espace/6667b6d1-d1c4-4c8f-9a34-37766dcfab62	board name "E Space" ≠ maison
Essential Parfums	greenhouse	0	AUTO-REJETE		Essential Anesthesia Management	96	https://job-boards.greenhouse.io/essential/jobs/5200910007	board name "Essential Anesthesia Management" ≠ maison
ESW Beauty	greenhouse	0	AUTO-REJETE		ESW	4	https://job-boards.greenhouse.io/esw/jobs/8759111002	board name "ESW" ≠ maison
Eternal Perfume Oils	lever	0	AUTO-REJETE			4	https://jobs.lever.co/eternal/69e24776-7d20-4051-a03f-51a41aad53fa	no board name to compare
Eternal Leather Goods	lever	0	AUTO-REJETE			4	https://jobs.lever.co/eternal/69e24776-7d20-4051-a03f-51a41aad53fa	no board name to compare
Eve in Paradise	greenhouse	0	AUTO-REJETE		Eve	36	https://job-boards.greenhouse.io/eve/jobs/4355010009	board name "Eve" ≠ maison
Eve Lavoie	greenhouse	0	AUTO-REJETE		Eve	36	https://job-boards.greenhouse.io/eve/jobs/4355010009	board name "Eve" ≠ maison
EVER Skincare	greenhouse	0	AUTO-REJETE		Ever	31	https://job-boards.greenhouse.io/ever/jobs/5350762008	board name "Ever" ≠ maison
Evolution BIG SIZE	smartrecruiters-whitelabel	0	AUTO-REJETE		Evolution	300	https://jobs.smartrecruiters.com/evolution/744000147231231	board name "Evolution" ≠ maison
Extreme Intimo	wttj	0	AUTO-REJETE		Extreme Agency	11	https://www.welcometothejungle.com/fr/companies/extreme/jobs/assistant-e-chef-de-projet-en-social-media_clichy	board name "Extreme Agency" ≠ maison
Extreme Cashmere	wttj	0	AUTO-REJETE		Extreme Agency	11	https://www.welcometothejungle.com/fr/companies/extreme/jobs/assistant-e-chef-de-projet-en-social-media_clichy	board name "Extreme Agency" ≠ maison
EXTREME POP	wttj	0	AUTO-REJETE		Extreme Agency	11	https://www.welcometothejungle.com/fr/companies/extreme/jobs/assistant-e-chef-de-projet-en-social-media_clichy	board name "Extreme Agency" ≠ maison
Farfetch	lever	0	AUTO-REJETE			61	https://jobs.lever.co/farfetch/054a48bf-03d9-4a8e-9c54-d3895efeb4e4	no board name to compare
Fifteen Twenty	wttj	0	AUTO-REJETE		Fifteen	4	https://www.welcometothejungle.com/fr/companies/fifteen/jobs/stage-customer-success-manager-h-f_issy-les-moulineaux	board name "Fifteen" ≠ maison
Figure 1 Beauty	greenhouse	0	AUTO-REJETE		Figure Lending	11	https://job-boards.greenhouse.io/figure/jobs/8651103002	board name "Figure Lending" ≠ maison
Filippa K	teamtailor	0	AUTO-REJETE			5	https://filippak.teamtailor.com/jobs/8285869-senior-product-developer-heavy-wovens-parental-leave-cover	no board name to compare
Fleet Feet	greenhouse	0	AUTO-REJETE		Fleet Data Centers	46	https://job-boards.greenhouse.io/fleet/jobs/4336702009	board name "Fleet Data Centers" ≠ maison
Flip*Flop	greenhouse	0	AUTO-REJETE		Flip	12	https://job-boards.greenhouse.io/flip/jobs/5365808008	board name "Flip" ≠ maison
Flow	personio	0	AUTO-REJETE		FLOW media Berlin GmbH	3	https://flow.jobs.personio.de/job/1523279	board name "FLOW media Berlin GmbH" ≠ maison
Fluency Beauty	greenhouse	0	AUTO-REJETE		Fluency	5	https://www.fluency.inc/careers?gh_jid=4311107009	board name "Fluency" ≠ maison
Fortis Uhren	teamtailor	0	AUTO-REJETE		Fortis	4	https://fortis.teamtailor.com/jobs/7654663-saljare-pa-distans	board name "Fortis" ≠ maison
Frame Denim	wttj	0	AUTO-REJETE		Frame	3	https://www.welcometothejungle.com/fr/companies/frame/jobs/consultant-senior_paris	board name "Frame" ≠ maison
G-Form	personio	0	AUTO-REJETE		GFORM	4	https://gform.jobs.personio.de/job/2715810	board name "GFORM" ≠ maison
Gainer Beauty LLC	teamtailor	0	AUTO-REJETE		Gainer Oy	1	https://gainer.teamtailor.com/jobs/8232181-varainhankkija	board name "Gainer Oy" ≠ maison
Gate G1 One	lever	0	AUTO-REJETE		Gate	19	https://jobs.lever.co/gate/95959c87-5902-49f3-af6e-bed398271fad	board name "Gate" ≠ maison
General Óptica	greenhouse	0	AUTO-REJETE		General Interest 	1	https://job-boards.greenhouse.io/general/jobs/7182645002	board name "General Interest " ≠ maison
General Pants Co.	greenhouse	0	AUTO-REJETE		General Interest 	1	https://job-boards.greenhouse.io/general/jobs/7182645002	board name "General Interest " ≠ maison
General Sleep	greenhouse	0	AUTO-REJETE		General Interest 	1	https://job-boards.greenhouse.io/general/jobs/7182645002	board name "General Interest " ≠ maison
Genesis Footwear	lever	0	HUMAIN	site-injoignable(0)	Genesis Global	5	https://jobs.lever.co/genesis/1dee97e1-ac4a-40dd-b628-76d0c4da1a81	board name "Genesis Global" ≠ maison
Genuine Myself	personio	0	AUTO-REJETE		Genuine Beauty GmbH	4	https://genuine.jobs.personio.de/job/2742655	board name "Genuine Beauty GmbH" ≠ maison
Georges Rech	teamtailor	0	AUTO-REJETE		Georges	11	https://georges.teamtailor.com/jobs/8297011-chef-d-equipe-production-h-f	board name "Georges" ≠ maison
Glide Sculpt	greenhouse	0	AUTO-REJETE		Glide	1	https://job-boards.greenhouse.io/glide/jobs/4020741007	board name "Glide" ≠ maison
GLITTER FASHION	teamtailor	0	AUTO-REJETE		Glitter	32	https://glitter.teamtailor.com/jobs/8312430-vi-soker-80-butikksjef-til-glitter-strandtorvet	board name "Glitter" ≠ maison
Globe-Trotter	teamtailor	0	AUTO-REJETE		Globetrotter	31	https://globetrotter.teamtailor.com/jobs/8065264-stellvertretende-teamleitung-im-verkauf-w-m-d	board name "Globetrotter" ≠ maison
Globetrotter Ausrüstung	teamtailor	0	HUMAIN	site-injoignable(0)	Globetrotter	31	https://globetrotter.teamtailor.com/jobs/8065264-stellvertretende-teamleitung-im-verkauf-w-m-d	board name "Globetrotter" ≠ maison
Glorious Gangsta	personio	0	HUMAIN	site-injoignable(0)	Küstenjunge GmbH	17	https://glorious.jobs.personio.de/job/1438376	board name "Küstenjunge GmbH" ≠ maison
Goal Five	greenhouse	0	AUTO-REJETE		GOAL	5	https://www.goalglobal.org/careers?gh_jid=7408675	board name "GOAL" ≠ maison
Golf Galaxy	greenhouse	0	HUMAIN	site-injoignable(0)	GOLF.com // GOLF Magazine	1	https://job-boards.greenhouse.io/golf/jobs/4707030006	board name "GOLF.com // GOLF Magazine" ≠ maison
Golf Partner	greenhouse	0	AUTO-REJETE		GOLF.com // GOLF Magazine	1	https://job-boards.greenhouse.io/golf/jobs/4707030006	board name "GOLF.com // GOLF Magazine" ≠ maison
Golf Town	greenhouse	0	HUMAIN	site-injoignable(0)	GOLF.com // GOLF Magazine	1	https://job-boards.greenhouse.io/golf/jobs/4707030006	board name "GOLF.com // GOLF Magazine" ≠ maison
Golf・Do	greenhouse	0	HUMAIN	site-injoignable(0)	GOLF.com // GOLF Magazine	1	https://job-boards.greenhouse.io/golf/jobs/4707030006	board name "GOLF.com // GOLF Magazine" ≠ maison
Goodwin's Skin Soother	greenhouse	0	HUMAIN	site-injoignable(0)	Goodwin	3	https://job-boards.greenhouse.io/goodwin/jobs/5135420007	board name "Goodwin" ≠ maison
Goody's	greenhouse	0	HUMAIN	site-injoignable(0)	Goody Garage Doors	3	https://job-boards.greenhouse.io/goody/jobs/4384277009	board name "Goody Garage Doors" ≠ maison
GRAIN DE MALICE	teamtailor	0	AUTO-REJETE		Grain	14	https://grain.teamtailor.com/jobs/7905905-pastry-cook	board name "Grain" ≠ maison
Grand Frank	lever	0	AUTO-REJETE		Grand Games	9	https://jobs.lever.co/grand/f4facce6-b7d5-44de-9819-f9017cc43397	board name "Grand Games" ≠ maison
Grand Optics	lever	0	AUTO-REJETE		Grand Games	9	https://jobs.lever.co/grand/f4facce6-b7d5-44de-9819-f9017cc43397	board name "Grand Games" ≠ maison
Grand Seiko	lever	0	AUTO-REJETE		Grand Games	9	https://jobs.lever.co/grand/f4facce6-b7d5-44de-9819-f9017cc43397	board name "Grand Games" ≠ maison
Grand Step	lever	0	AUTO-REJETE		Grand Games	9	https://jobs.lever.co/grand/f4facce6-b7d5-44de-9819-f9017cc43397	board name "Grand Games" ≠ maison
Grand Step Shoes	lever	0	AUTO-REJETE		Grand Games	9	https://jobs.lever.co/grand/f4facce6-b7d5-44de-9819-f9017cc43397	board name "Grand Games" ≠ maison
Grey Belly	greenhouse	0	HUMAIN	site-injoignable(0)	GREY 	2	https://job-boards.greenhouse.io/grey/jobs/4723087005	board name "GREY " ≠ maison
Grey Gardens	greenhouse	0	AUTO-REJETE		GREY 	2	https://job-boards.greenhouse.io/grey/jobs/4723087005	board name "GREY " ≠ maison
HAN KJØBENHAVN	recruitee	0	AUTO-REJETE		Customizable ATS & hiring software Tellent Recruitee	1	https://han.recruitee.com/o/senior-marketer-stichprobe-london	board name "Customizable ATS & hiring software Tellent Recruitee" ≠ maison
Chance of Sunny	wttj	0	AUTO-REJETE		Chance	2	https://www.welcometothejungle.com/fr/companies/chance/jobs/stage-charge-e-de-projets-education_paris	board name "Chance" ≠ maison
HARIS COTTON	smartrecruiters-whitelabel	0	AUTO-REJETE		Haris	1	https://jobs.smartrecruiters.com/haris/743999705977444	board name "Haris" ≠ maison
Hazel & Folk	greenhouse	0	AUTO-REJETE		Hazel Health	17	https://job-boards.greenhouse.io/hazel/jobs/7638442003	board name "Hazel Health" ≠ maison
Hemmerle	personio	0	AUTO-REJETE			3	https://hemmerle.jobs.personio.de/job/1034119	no board name to compare
Hive & Colony	greenhouse	0	AUTO-REJETE		Hive	11	https://job-boards.eu.greenhouse.io/hive/jobs/4940573101	board name "Hive" ≠ maison
Hoff	personio	0	AUTO-REJETE			2	https://hoff.jobs.personio.de/job/2713366	no board name to compare
Honor The House Beauty	greenhouse	0	AUTO-REJETE		Honor	12	https://boards.greenhouse.io/honor/jobs/8777116002?gh_jid=8777116002	board name "Honor" ≠ maison
Hook and Rope	greenhouse	0	HUMAIN	site-injoignable(0)	Hook	6	https://job-boards.greenhouse.io/hook/jobs/8402409002	board name "Hook" ≠ maison
HUBER	personio	0	AUTO-REJETE		Huber Parking Deutschland GmbH	13	https://huber.jobs.personio.de/job/2736923	board name "Huber Parking Deutschland GmbH" ≠ maison
Huber Shop	personio	0	AUTO-REJETE		Huber Parking Deutschland GmbH	13	https://huber.jobs.personio.de/job/2736923	board name "Huber Parking Deutschland GmbH" ≠ maison
Hug & Clau	smartrecruiters-whitelabel	0	AUTO-REJETE		Hôpitaux Universitaires de Genève	45	https://jobs.smartrecruiters.com/hug/744000147009829	board name "Hôpitaux Universitaires de Genève" ≠ maison
Clark's Botanicals	personio	0	AUTO-REJETE		CLARK Holding SE	3	https://clark.jobs.personio.de/job/2415353	board name "CLARK Holding SE" ≠ maison
Hush Puppies	lever	0	AUTO-REJETE		HUSH	11	https://jobs.lever.co/hush/33691840-09fa-4f00-a46b-1715402f4ddd	board name "HUSH" ≠ maison
HUSHD	smartrecruiters-whitelabel	0	AUTO-REJETE		Hush'D	1	https://jobs.smartrecruiters.com/hushd/743999734309421	board name "Hush'D" ≠ maison
Hustle Butter	teamtailor	0	AUTO-REJETE		Hustle	7	https://hustle.teamtailor.com/jobs/8271958-design-director	board name "Hustle" ≠ maison
Icon Brand	recruitee	0	HUMAIN	site-injoignable(0)	Customizable ATS & hiring software Tellent Recruitee	2	https://icon.recruitee.com/o/vendsys-nayax-vm-inobram	board name "Customizable ATS & hiring software Tellent Recruitee" ≠ maison
Icon Eyewear	recruitee	0	AUTO-REJETE		Customizable ATS & hiring software Tellent Recruitee	2	https://icon.recruitee.com/o/vendsys-nayax-vm-inobram	board name "Customizable ATS & hiring software Tellent Recruitee" ≠ maison
igi natur	smartrecruiters-whitelabel	0	HUMAIN	site-injoignable(0)	IGI	4	https://jobs.smartrecruiters.com/igi/744000141979789	board name "IGI" ≠ maison
Cloud9	greenhouse	0	AUTO-REJETE		Cloud 9	9	https://job-boards.greenhouse.io/cloud9/jobs/8635286002	board name "Cloud 9" ≠ maison
IN VIVO	wttj	0	AUTO-REJETE		InVivo	2	https://www.welcometothejungle.com/fr/companies/invivo/jobs/architecte-ingenieur-cybersecurite-f-h	board name "InVivo" ≠ maison
Indigo Sun	greenhouse	0	AUTO-REJETE		Indigo	2	https://job-boards.greenhouse.io/indigo/jobs/5193160007	board name "Indigo" ≠ maison
iNDiViDUALS Studio	smartrecruiters-whitelabel	0	HUMAIN	site-injoignable(0)	Individuals	3	https://jobs.smartrecruiters.com/individuals/743999700070287	board name "Individuals" ≠ maison
iNO	greenhouse	0	AUTO-REJETE		Innovative Air	3	https://job-boards.greenhouse.io/ino/jobs/5372283008	board name "Innovative Air" ≠ maison
Inspired Sense	personio	0	HUMAIN	site-injoignable(0)	Reprise Media	1	https://inspired.jobs.personio.de/job/2592957	board name "Reprise Media" ≠ maison
Codex Labs Corporation	personio	0	HUMAIN	site-injoignable(0)		1	https://codex.jobs.personio.de/job/2608804	no board name to compare
Codex Labs	personio	0	HUMAIN	site-injoignable(0)		1	https://codex.jobs.personio.de/job/2608804	no board name to compare
IRIS	greenhouse	0	AUTO-REJETE		Iris North America	2	https://job-boards.greenhouse.io/iris/jobs/7767193	board name "Iris North America" ≠ maison
Iris Janvier	greenhouse	0	AUTO-REJETE		Iris North America	2	https://job-boards.greenhouse.io/iris/jobs/7767193	board name "Iris North America" ≠ maison
Iris Lingerie	greenhouse	0	AUTO-REJETE		Iris North America	2	https://job-boards.greenhouse.io/iris/jobs/7767193	board name "Iris North America" ≠ maison
Iris&Romeo	greenhouse	0	AUTO-REJETE		Iris North America	2	https://job-boards.greenhouse.io/iris/jobs/7767193	board name "Iris North America" ≠ maison
Isa Boulder	greenhouse	0	AUTO-REJETE		Innovative Signal Analysis	10	https://job-boards.greenhouse.io/isa/jobs/4297476009	board name "Innovative Signal Analysis" ≠ maison
Ĭsa Knox	greenhouse	0	AUTO-REJETE		Innovative Signal Analysis	10	https://job-boards.greenhouse.io/isa/jobs/4297476009	board name "Innovative Signal Analysis" ≠ maison
Isaac Reina	greenhouse	0	AUTO-REJETE		isaac	1	https://job-boards.greenhouse.io/isaac/jobs/5534311004	board name "isaac" ≠ maison
ITS'DEMO	greenhouse	0	HUMAIN	site-injoignable(0)	Intelligent Technical Solutions	25	https://job-boards.greenhouse.io/its/jobs/7814917003	board name "Intelligent Technical Solutions" ≠ maison
Community Clothing	greenhouse	0	AUTO-REJETE		Rome Community Partners	1	https://job-boards.greenhouse.io/community/jobs/4983369007	board name "Rome Community Partners" ≠ maison
Jaeger-LeCoultre	recruitee	0	AUTO-REJETE		Homepage	10	https://jobs.jaeger-ttc.com/o/maschinen-und-anlagenfuhrer-beschichten-mwd	board name "Homepage" ≠ maison
Jaguar Watches	personio	0	HUMAIN	site-injoignable(0)		3	https://jaguar.jobs.personio.de/job/1792527	no board name to compare
Japan TKY	greenhouse	0	AUTO-REJETE		Mirakl - Japan	3	https://job-boards.greenhouse.io/japan/jobs/4655923004	board name "Mirakl - Japan" ≠ maison
Jay Jays	greenhouse	0	AUTO-REJETE		Jay	2	https://job-boards.greenhouse.io/jay/jobs/5170456007	board name "Jay" ≠ maison
COSMOS COMFORT	personio	0	HUMAIN	site-injoignable(0)		3	https://cosmos.jobs.personio.de/job/2446196	no board name to compare
Johnson	personio	0	HUMAIN	site-injoignable(0)		3	https://johnson.jobs.personio.de/job/1328955	no board name to compare
Johnson Fitness & Wellness	personio	0	HUMAIN	site-injoignable(0)		3	https://johnson.jobs.personio.de/job/1328955	no board name to compare
Johnson's Baby	personio	0	AUTO-REJETE			3	https://johnson.jobs.personio.de/job/1328955	no board name to compare
Jonak-Paris	wttj	0	AUTO-REJETE		Jonak	17	https://www.welcometothejungle.com/fr/companies/jonak/jobs/conseiller-de-vente-h-f-cdi-8h-annecy_annecy	board name "Jonak" ≠ maison
Jonathan Cohen	personio	0	AUTO-REJETE			3	https://jonathan.jobs.personio.de/job/1781672	no board name to compare
Jonathan Simkhai	personio	0	AUTO-REJETE			3	https://jonathan.jobs.personio.de/job/1781672	no board name to compare
Josh Rosebrook	personio	0	AUTO-REJETE			3	https://josh.jobs.personio.de/job/1587184	no board name to compare
JOSH V	personio	0	HUMAIN	site-injoignable(0)		3	https://josh.jobs.personio.de/job/1587184	no board name to compare
Jost	recruitee	0	AUTO-REJETE		Homepage	18	https://jost.recruitee.com/o/hr-officer-1	board name "Homepage" ≠ maison
Joya Diseño	greenhouse	0	AUTO-REJETE		Joya	193	https://job-boards.greenhouse.io/joya/jobs/7793633003	board name "Joya" ≠ maison
Jupe by Jackie	lever	0	AUTO-REJETE			2	https://jobs.lever.co/jupe/d7c3888f-09bf-40d3-9ab2-7066ea16cbe6	no board name to compare
Kaiko	personio	0	AUTO-REJETE			3	https://kaiko.jobs.personio.de/job/1436787	no board name to compare
Cycle Gear	personio	0	HUMAIN	site-injoignable(0)	CYCLE Netherlands BV	13	https://cycle.jobs.personio.de/job/2562328	board name "CYCLE Netherlands BV" ≠ maison
Kate Garey	personio	0	HUMAIN	site-injoignable(0)		3	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Lee	personio	0	AUTO-REJETE			3	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Sheridan	personio	0	AUTO-REJETE			3	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Spade	personio	0	AUTO-REJETE			3	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Spade New York	personio	0	AUTO-REJETE			3	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Sylvester	personio	0	AUTO-REJETE			3	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Quinn	personio	0	AUTO-REJETE			3	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate's Magik	personio	0	AUTO-REJETE			3	https://kate.jobs.personio.de/job/2766202	no board name to compare
KATE BARTON	personio	0	AUTO-REJETE			3	https://kate.jobs.personio.de/job/2766202	no board name to compare
KEEN	greenhouse	0	AUTO-REJETE		Keen Advisor Questionnaire 	1	https://job-boards.greenhouse.io/keen/jobs/5819317004	board name "Keen Advisor Questionnaire " ≠ maison
Kent & Curwen	personio	0	AUTO-REJETE		KENT Deutschland GmbH	13	https://kent.jobs.personio.de/job/2021408	board name "KENT Deutschland GmbH" ≠ maison
Kevin Jewelers	personio	0	AUTO-REJETE			3	https://kevin.jobs.personio.de/job/2013560	no board name to compare
Kevin O'Brien Studio	personio	0	AUTO-REJETE			3	https://kevin.jobs.personio.de/job/2013560	no board name to compare
KIKS TYO	recruitee	0	AUTO-REJETE		Homepage	2	https://kiks.recruitee.com/o/it-support-medewerker	board name "Homepage" ≠ maison
Daniel	personio	0	AUTO-REJETE			3	https://daniel.jobs.personio.de/job/1506766	no board name to compare
Daniel & Bob	personio	0	HUMAIN	site-injoignable(0)		3	https://daniel.jobs.personio.de/job/1506766	no board name to compare
DANIEL ESSA	personio	0	AUTO-REJETE			3	https://daniel.jobs.personio.de/job/1506766	no board name to compare
Daniel Hechter	personio	0	AUTO-REJETE			3	https://daniel.jobs.personio.de/job/1506766	no board name to compare
DANIEL PATRICK	personio	0	HUMAIN	site-injoignable(0)		3	https://daniel.jobs.personio.de/job/1506766	no board name to compare
Daniel Wellington	personio	0	AUTO-REJETE			3	https://daniel.jobs.personio.de/job/1506766	no board name to compare
Daniel's Jewelers	personio	0	AUTO-REJETE			3	https://daniel.jobs.personio.de/job/1506766	no board name to compare
Kleinigkeit	personio	0	AUTO-REJETE			3	https://kleinigkeit.jobs.personio.de/job/1431628	no board name to compare
Kleos + Klea	teamtailor	0	AUTO-REJETE		Kleos	6	https://kleos.teamtailor.com/jobs/8170966-chief-technology-officer-cto	board name "Kleos" ≠ maison
Knit-ted Essentials	greenhouse	0	AUTO-REJETE		Knit	14	https://job-boards.greenhouse.io/knit/jobs/4355304009	board name "Knit" ≠ maison
Known Supply	greenhouse	0	AUTO-REJETE		Known	18	https://job-boards.greenhouse.io/known/jobs/8728825002	board name "Known" ≠ maison
Kohl's	recruitee	0	HUMAIN	site-injoignable(0)	Stellenangebote & Ausbildung der Kohl Unternehmensgruppe	8	https://jobs.kohl-gmbh.de/o/reinigungskraft2	board name "Stellenangebote & Ausbildung der Kohl Unternehmensgruppe" ≠ maison
L'Occitane Group	teamtailor	0	AUTO-REJETE		L'Occitane en Provence	26	https://loccitanegroup.teamtailor.com/jobs/8307686-key-holder-beauty-host	board name "L'Occitane en Provence" ≠ maison
Lao Feng Xiang	personio	0	AUTO-REJETE		LAO Ingenieurgesellschaft mbH	6	https://lao.jobs.personio.de/job/2371935	board name "LAO Ingenieurgesellschaft mbH" ≠ maison
Diana Madison Beauty	personio	0	AUTO-REJETE		DIANA Electronic-Systeme GmbH	2	https://diana.jobs.personio.de/job/2553312	board name "DIANA Electronic-Systeme GmbH" ≠ maison
Lemon Jelly	teamtailor	0	AUTO-REJETE		Aphiniti	6	https://lemon.teamtailor.com/jobs/5512703-pr-account-manager	board name "Aphiniti" ≠ maison
DNA Amsterdam	greenhouse	0	AUTO-REJETE		DNA	1	https://job-boards.greenhouse.io/dna/jobs/8460178002	board name "DNA" ≠ maison
Dom Tower	personio	0	AUTO-REJETE			3	https://dom.jobs.personio.de/job/2023736	no board name to compare
Dom Mody Skorska	personio	0	AUTO-REJETE			3	https://dom.jobs.personio.de/job/2023736	no board name to compare
Life Elements	lever	0	AUTO-REJETE		Life.Church	56	https://jobs.lever.co/life/b6b38530-2d55-48b1-993b-708311cc94a9	board name "Life.Church" ≠ maison
Life Less Ordinary	lever	0	AUTO-REJETE		Life.Church	56	https://jobs.lever.co/life/b6b38530-2d55-48b1-993b-708311cc94a9	board name "Life.Church" ≠ maison
Life Style Sports	lever	0	AUTO-REJETE		Life.Church	56	https://jobs.lever.co/life/b6b38530-2d55-48b1-993b-708311cc94a9	board name "Life.Church" ≠ maison
Lifted Beauty	greenhouse	0	AUTO-REJETE		Lifted	5	https://job-boards.greenhouse.io/lifted/jobs/5771080003	board name "Lifted" ≠ maison
Loavies	recruitee	0	AUTO-REJETE		My custom page title	4	https://loavies.recruitee.com/o/fashion-stylist-4	board name "My custom page title" ≠ maison
London Fog	greenhouse	0	AUTO-REJETE		Aimé Leon Dore EU	3	https://job-boards.greenhouse.io/london/jobs/5019478004	board name "Aimé Leon Dore EU" ≠ maison
